step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,328,8,0.13008211387693883,0.0,0.0,0.17166445994128782,0.625,0.625,,,,,,
2,464,16,0.25395599957555537,0.75,0.75,,,,,,,,,
3,664,24,0.07635105866317946,0.75,0.75,,,,,,,,,
4,800,32,0.07195950361667201,0.75,0.75,,,,,,,,,
5,1064,40,0.06933693296043203,0.375,0.375,,,,,,,,,
6,1328,48,0.04236673520179465,0.875,0.875,,,,,,,,,
7,1528,56,0.10570379034693662,0.5,0.5,,,,,,,,,
8,1728,64,0.04358755370369181,0.875,0.875,,,,,,,,,
9,1864,72,0.09408590774051845,0.5,0.5,0.05812289773176114,0.5,0.5,,,,,,
10,2064,80,0.054633836830034845,0.75,0.75,,,,,,,,,
11,2264,88,0.07047549463032435,0.625,0.625,,,,,,,,,
12,2400,96,0.12064241583226248,0.5,0.5,,,,,,,,,
13,2600,104,0.0626597643395265,0.75,0.75,,,,,,,,,
14,2736,112,0.08334304342046381,0.875,0.875,,,,,,,,,
15,2936,120,0.060913557352808616,0.375,0.375,,,,,,,,,
16,3136,128,0.061028919133047255,0.5,0.5,,,,,,,,,
17,3336,136,0.06736679745217164,0.375,0.375,0.056777436338985965,0.625,0.625,,,,,,
18,3536,144,0.05966723861793677,0.5,0.5,,,,,,,,,
19,3736,152,0.0611305323522538,0.625,0.625,,,,,,,,,
20,3936,160,0.05948744140254955,0.375,0.375,,,,,,,,,
21,4136,168,0.06259259360531966,0.375,0.375,,,,,,,,,
22,4336,176,0.045006389633053916,0.75,0.75,,,,,,,,,
23,4472,184,0.08472266481257976,0.375,0.375,,,,,,,,,
24,4608,192,0.07974974606186151,0.5,0.5,,,,,,,,,
25,4808,200,0.05148246632888912,0.625,0.625,0.05584894198303421,0.5,0.5,,,,,,
26,5328,208,0.018796027379576113,0.75,0.75,,,,,,,,,
27,5656,216,0.035878751138225196,0.5,0.5,,,,,,,,,
28,5856,224,0.058508387516873574,0.375,0.375,,,,,,,,,
29,6120,232,0.03646683461964131,0.75,0.75,,,,,,,,,
30,6256,240,0.07252004187554122,0.5,0.5,,,,,,,,,
31,6456,248,0.06340371963878473,0.25,0.25,,,,,,,,,
32,6720,256,0.04003610451705754,0.625,0.625,,,,,,,,,
33,6920,264,0.04968866831623017,0.75,0.75,0.07919079650193453,0.5,0.5,,,,,,
34,7120,272,0.05241864457416038,0.5,0.5,,,,,,,,,
35,7256,280,0.07830339561216533,0.625,0.625,,,,,,,,,
36,7392,288,0.07776099909096956,0.625,0.625,,,,,,,,,
