step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,9,1,0.5080398773774505,0.0,0.0,0.1838667922234163,0.0,0.0,,,,,,
2,34,2,0.2258117999214058,0.0,0.0,,,,,,,,,
3,59,3,0.12555895661314326,1.0,1.0,,,,,,,,,
4,84,4,0.050863081688682234,1.0,1.0,,,,,,,,,
5,93,5,0.4745494046807289,0.0,0.0,,,,,,,,,
6,110,6,0.08009762659668923,1.0,1.0,,,,,,,,,
7,127,7,0.04462784633040428,1.0,1.0,,,,,,,,,
8,136,8,0.3517911034822464,0.0,0.0,,,,,,,,,
9,153,9,0.04790718540549278,1.0,1.0,0.06391289114952088,1.0,1.0,,,,,,
10,170,10,0.5214261912554503,0.0,0.0,,,,,,,,,
11,187,11,0.05204458159278147,1.0,1.0,,,,,,,,,
12,212,12,0.3062384983897209,0.0,0.0,,,,,,,,,
13,221,13,0.3979005107283592,0.0,0.0,,,,,,,,,
14,238,14,0.055697032678872355,1.0,1.0,,,,,,,,,
15,255,15,0.07362373866140842,1.0,1.0,,,,,,,,,
16,264,16,0.06979951232671738,1.0,1.0,,,,,,,,,
17,273,17,0.6258682656288147,0.0,0.0,0.06161726092919707,1.0,1.0,,,,,,
18,306,18,0.18845464695245026,0.0,0.0,,,,,,,,,
19,315,19,0.29827181711792944,0.0,0.0,,,,,,,,,
20,332,20,0.1008987881243229,0.0,0.0,,,,,,,,,
21,349,21,0.10721585795283317,0.0,0.0,,,,,,,,,
22,358,22,0.059852798506617545,1.0,1.0,,,,,,,,,
23,375,23,0.030477723726071416,1.0,1.0,,,,,,,,,
24,392,24,0.43629362285137174,0.0,0.0,,,,,,,,,
25,417,25,0.22933505743741991,0.0,0.0,0.034125926559790964,1.0,1.0,,,,,,
26,426,26,0.6327576786279678,0.0,0.0,,,,,,,,,
27,443,27,0.1744671380519867,0.0,0.0,,,,,,,,,
28,460,28,0.11451540201902391,0.0,0.0,,,,,,,,,
29,477,29,0.15470334246754647,0.0,0.0,,,,,,,,,
30,494,30,0.12679532065987587,0.0,0.0,,,,,,,,,
31,511,31,0.0594314880669117,1.0,1.0,,,,,,,,,
32,528,32,0.06945298001170158,1.0,1.0,,,,,,,,,
33,545,33,0.11558150693774223,0.0,0.0,0.06733208656311035,1.0,1.0,,,,,,
34,562,34,0.08709141932427883,0.0,0.0,,,,,,,,,
35,579,35,0.10668003499507903,0.0,0.0,,,,,,,,,
36,612,36,0.03556498285848647,1.0,1.0,,,,,,,,,
37,629,37,0.07745712213218212,1.0,1.0,,,,,,,,,
38,646,38,0.11703459262847901,0.0,0.0,,,,,,,,,
39,663,39,0.11607553631067276,0.0,0.0,,,,,,,,,
40,680,40,0.05807620361447334,1.0,1.0,,,,,,,,,
41,697,41,0.08024337157607078,0.0,0.0,0.0760004685074091,0.0,0.0,,,,,,
42,706,42,0.0908873850107193,1.0,1.0,,,,,,,,,
43,723,43,0.04736911591142416,1.0,1.0,,,,,,,,,
44,740,44,0.06136951953172684,1.0,1.0,,,,,,,,,
45,757,45,0.02956374304834753,1.0,1.0,,,,,,,,,
46,766,46,0.5353716349601746,0.0,0.0,,,,,,,,,
47,783,47,0.31228170663118365,0.0,0.0,,,,,,,,,
48,800,48,0.04630749423056841,1.0,1.0,,,,,,,,,
49,809,49,0.30822666227817536,0.0,0.0,0.24190162301063536,0.0,0.0,,,,,,
50,818,50,0.08260687366127967,1.0,1.0,,,,,,,,,
51,835,51,0.11501543432474137,0.0,0.0,,,,,,,,,
52,844,52,0.10583569779992104,1.0,1.0,,,,,,,,,
53,861,53,0.06479160040616988,1.0,1.0,,,,,,,,,
54,878,54,0.08986158579587936,0.0,0.0,,,,,,,,,
55,895,55,0.07790190950036048,1.0,1.0,,,,,,,,,
56,920,56,0.0554003154238065,1.0,1.0,,,,,,,,,
57,937,57,0.08342248275876045,0.0,0.0,0.0611788310110569,1.0,1.0,,,,,,
58,946,58,0.102925066947937,1.0,1.0,,,,,,,,,
59,963,59,0.1120673992112279,0.0,0.0,,,,,,,,,
60,988,60,0.07004442696770032,1.0,1.0,,,,,,,,,
61,997,61,0.22911794245243072,0.0,0.0,,,,,,,,,
62,1014,62,0.08574883498251439,0.0,0.0,,,,,,,,,
63,1023,63,0.10454217821359635,1.0,1.0,,,,,,,,,
64,1040,64,0.11852188974618912,0.0,0.0,,,,,,,,,
65,1057,65,0.14906989723443984,0.0,0.0,0.04649643782526255,1.0,1.0,,,,,,
66,1074,66,0.03580302305519581,1.0,1.0,,,,,,,,,
67,1099,67,0.037227534850438435,1.0,1.0,,,,,,,,,
68,1108,68,0.07729511618614196,1.0,1.0,,,,,,,,,
69,1117,69,0.06219612307846547,1.0,1.0,,,,,,,,,
70,1150,70,0.04156791357323528,1.0,1.0,,,,,,,,,
71,1167,71,0.04404840422794223,1.0,1.0,,,,,,,,,
72,1184,72,0.19833597995340824,0.0,0.0,,,,,,,,,
73,1209,73,0.03572907249132792,1.0,1.0,0.0412687898799777,1.0,1.0,,,,,,
74,1234,74,0.14189144223928452,0.0,0.0,,,,,,,,,
75,1251,75,0.04031167343258858,1.0,1.0,,,,,,,,,
76,1268,76,0.04516870316118002,1.0,1.0,,,,,,,,,
77,1285,77,0.037379922457039354,1.0,1.0,,,,,,,,,
78,1294,78,0.25923753708600994,0.0,0.0,,,,,,,,,
79,1311,79,0.0710047871619463,1.0,1.0,,,,,,,,,
80,1328,80,0.055577348172664645,1.0,1.0,,,,,,,,,
81,1345,81,0.05821672275662422,1.0,1.0,0.06635637789964677,1.0,1.0,,,,,,
82,1362,82,0.10497171700000764,0.0,0.0,,,,,,,,,
83,1387,83,0.06453466643889745,0.0,0.0,,,,,,,,,
84,1404,84,0.06853721350431442,1.0,1.0,,,,,,,,,
85,1413,85,0.14153422877192498,0.0,0.0,,,,,,,,,
86,1422,86,0.14815444111824036,0.0,0.0,,,,,,,,,
87,1439,87,0.07298579186201096,1.0,1.0,,,,,,,,,
88,1448,88,0.1503423696756363,0.0,0.0,,,,,,,,,
89,1457,89,0.10977674975991249,1.0,1.0,0.0632494955509901,1.0,1.0,,,,,,
90,1466,90,0.09568798243999482,1.0,1.0,,,,,,,,,
91,1483,91,0.10053974095731974,0.0,0.0,,,,,,,,,
92,1492,92,0.0816592600941658,1.0,1.0,,,,,,,,,
93,1501,93,0.09034862920641899,1.0,1.0,,,,,,,,,
94,1526,94,0.09009838034709296,0.0,0.0,,,,,,,,,
95,1543,95,0.15576166447252038,0.0,0.0,,,,,,,,,
