step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,34,2,0.3496936539560556,0.0,0.0,0.30751639127731323,0.0,0.0,,,,,,
2,68,4,0.22803621102124455,0.5,0.5,,,,,,,,,
3,118,6,0.04564367008395493,1.0,1.0,,,,,,,,,
4,168,8,0.03581760242193317,1.0,1.0,,,,,,,,,
5,202,10,0.24871247844013852,0.5,0.5,,,,,,,,,
6,236,12,0.05868744250386953,1.0,1.0,,,,,,,,,
7,270,14,0.1205377772252541,0.5,0.5,,,,,,,,,
8,304,16,0.1615515787526965,0.0,0.0,,,,,,,,,
9,354,18,0.0983140726139148,0.0,0.0,0.0805847117677331,1.0,1.0,,,,,,
10,404,20,0.055982866858442636,1.0,1.0,,,,,,,,,
11,438,22,0.128528870055452,0.0,0.0,,,,,,,,,
12,472,24,0.04977950423955918,1.0,1.0,,,,,,,,,
13,490,26,0.061160490205511446,1.0,1.0,,,,,,,,,
14,524,28,0.05325158281601034,1.0,1.0,,,,,,,,,
15,558,30,0.035518135893144065,1.0,1.0,,,,,,,,,
16,592,32,0.04491732374754065,1.0,1.0,,,,,,,,,
17,626,34,0.3003254566821124,0.5,0.5,0.253875046880421,0.5,0.5,,,,,,
18,692,36,0.13484911020554136,0.5,0.5,,,,,,,,,
19,726,38,0.16059738528332673,0.5,0.5,,,,,,,,,
20,760,40,0.0914185769855976,0.0,0.0,,,,,,,,,
21,794,42,0.07837307158857584,0.5,0.5,,,,,,,,,
22,828,44,0.060117337852716446,0.5,0.5,,,,,,,,,
23,862,46,0.07101357877254487,1.0,1.0,,,,,,,,,
24,896,48,0.13349201899021865,0.0,0.0,,,,,,,,,
25,946,50,0.03657747603952885,1.0,1.0,0.048407416427507996,1.0,1.0,,,,,,
26,980,52,0.08401459109038115,0.5,0.5,,,,,,,,,
27,998,54,0.12782474875450134,0.5,0.5,,,,,,,,,
28,1032,56,0.05601464416831732,1.0,1.0,,,,,,,,,
29,1082,58,0.037938131118814146,1.0,1.0,,,,,,,,,
