step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,264,8,0.15994974805507808,0.0,0.0,0.1873200499390562,0.125,0.125,,,,,,
2,400,16,0.26390415312722326,0.25,0.25,,,,,,,,,
3,728,24,0.07187655775994062,0.5,0.5,,,,,,,,,
4,992,32,0.08882690156577155,0.375,0.375,,,,,,,,,
5,1256,40,0.0440250862808898,0.75,0.75,,,,,,,,,
6,1904,48,0.01678379516093992,0.75,0.75,,,,,,,,,
7,2104,56,0.06633707863589128,0.375,0.375,,,,,,,,,
8,2304,64,0.06183828981903693,0.625,0.625,,,,,,,,,
9,2504,72,0.07247773077571765,0.5,0.5,0.06553873680531978,0.5,0.5,,,,,,
10,2704,80,0.05740262925003966,0.5,0.5,,,,,,,,,
11,2968,88,0.04469741231761873,0.75,0.75,,,,,,,,,
12,3168,96,0.05507060525628427,0.625,0.625,,,,,,,,,
13,3368,104,0.06691606754437089,0.5,0.5,,,,,,,,,
14,3504,112,0.08650842197355815,0.375,0.375,,,,,,,,,
15,3768,120,0.04651797414378962,0.5,0.5,,,,,,,,,
16,4032,128,0.04870849501807243,0.5,0.5,,,,,,,,,
17,4168,136,0.0825627829041332,0.5,0.5,0.04635839099064469,0.625,0.625,,,,,,
18,4304,144,0.07073541450081393,0.875,0.875,,,,,,,,,
19,4568,152,0.053360437049122994,0.5,0.5,,,,,,,,,
20,4896,160,0.03694856015406549,0.625,0.625,,,,,,,,,
21,5032,168,0.08753451894968747,0.5,0.5,,,,,,,,,
22,5232,176,0.06312931869799893,0.375,0.375,,,,,,,,,
23,5432,184,0.05493470380393167,0.625,0.625,,,,,,,,,
24,5696,192,0.043712570848874754,0.75,0.75,,,,,,,,,
25,6024,200,0.048812181535176934,0.625,0.625,0.0669884459550182,0.5,0.5,,,,,,
26,6288,208,0.04509855386102572,0.5,0.5,,,,,,,,,
27,6488,216,0.054386305325121315,0.5,0.5,,,,,,,,,
28,6688,224,0.05469346839313705,0.5,0.5,,,,,,,,,
29,6824,232,0.07823206953704356,0.625,0.625,,,,,,,,,
30,7088,240,0.04307840234600008,0.375,0.375,,,,,,,,,
