step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,17,1,0.30837528079748155,0.0,0.0,0.2860989335179329,0.0,0.0,,,,,,
2,26,2,0.6090218561887741,0.0,0.0,,,,,,,,,
3,43,3,0.1997347305715084,1.0,1.0,,,,,,,,,
4,68,4,0.0907315085331599,0.0,0.0,,,,,,,,,
5,85,5,0.045382421854883434,1.0,1.0,,,,,,,,,
6,102,6,0.0437719792407006,1.0,1.0,,,,,,,,,
7,119,7,0.05933865354047157,1.0,1.0,,,,,,,,,
8,144,8,0.41122226680318513,0.0,0.0,,,,,,,,,
9,161,9,0.5114786127209663,0.0,0.0,0.04097576414613287,1.0,1.0,,,,,,
10,178,10,0.04135267786914483,1.0,1.0,,,,,,,,,
11,195,11,0.3759885476529598,0.0,0.0,,,,,,,,,
12,212,12,0.03865633714944124,1.0,1.0,,,,,,,,,
13,229,13,0.2730955372750759,0.0,0.0,,,,,,,,,
14,246,14,0.0658625828847289,1.0,1.0,,,,,,,,,
15,263,15,0.05914832066744566,1.0,1.0,,,,,,,,,
16,280,16,0.03732030492974445,1.0,1.0,,,,,,,,,
17,289,17,0.04321325317025185,1.0,1.0,0.030510233719833198,1.0,1.0,,,,,,
18,322,18,0.23016832493245604,0.0,0.0,,,,,,,,,
19,355,19,0.2299557612836361,0.0,0.0,,,,,,,,,
20,372,20,0.07362032681703568,1.0,1.0,,,,,,,,,
21,381,21,0.07670506551861764,1.0,1.0,,,,,,,,,
22,398,22,0.037744800793007016,1.0,1.0,,,,,,,,,
23,423,23,0.0373129326167206,1.0,1.0,,,,,,,,,
24,440,24,0.027306542638689278,1.0,1.0,,,,,,,,,
25,457,25,0.4717542050033808,0.0,0.0,0.29407058671116826,0.0,0.0,,,,,,
26,474,26,0.34501394256949425,0.0,0.0,,,,,,,,,
27,507,27,0.050854746531695125,1.0,1.0,,,,,,,,,
28,524,28,0.04819089762866497,1.0,1.0,,,,,,,,,
29,549,29,0.10109233265121778,0.0,0.0,,,,,,,,,
30,558,30,0.1337289759516716,1.0,1.0,,,,,,,,,
31,591,31,0.05126304913312197,1.0,1.0,,,,,,,,,
32,600,32,0.1402089262008667,0.0,0.0,,,,,,,,,
33,609,33,0.21509948521852496,0.0,0.0,0.043633376061916355,1.0,1.0,,,,,,
34,626,34,0.04000407066196203,1.0,1.0,,,,,,,,,
35,643,35,0.060861856006085874,1.0,1.0,,,,,,,,,
36,660,36,0.03503046173602343,1.0,1.0,,,,,,,,,
37,677,37,0.04917254598345608,1.0,1.0,,,,,,,,,
38,718,38,0.17752631583809853,0.0,0.0,,,,,,,,,
39,743,39,0.2167117436726888,0.0,0.0,,,,,,,,,
40,768,40,0.04311049774289131,1.0,1.0,,,,,,,,,
41,785,41,0.059618745855987074,1.0,1.0,0.04246177799999713,1.0,1.0,,,,,,
42,802,42,0.04685334734618664,1.0,1.0,,,,,,,,,
43,811,43,0.07481361076235771,1.0,1.0,,,,,,,,,
44,828,44,0.16554885029792787,0.0,0.0,,,,,,,,,
45,845,45,0.13911024779081346,0.0,0.0,,,,,,,,,
46,862,46,0.0757224938645959,1.0,1.0,,,,,,,,,
47,879,47,0.07017551716417075,1.0,1.0,,,,,,,,,
48,888,48,0.18779081523418426,0.0,0.0,,,,,,,,,
49,905,49,0.08053291961550713,0.0,0.0,0.07387690678238869,0.0,0.0,,,,,,
50,930,50,0.06302209029595057,1.0,1.0,,,,,,,,,
51,947,51,0.062489577531814576,1.0,1.0,,,,,,,,,
52,956,52,0.050151100009679796,1.0,1.0,,,,,,,,,
53,973,53,0.20341920748353004,0.0,0.0,,,,,,,,,
54,998,54,0.039604404419660566,1.0,1.0,,,,,,,,,
55,1023,55,0.14121469666560493,0.0,0.0,,,,,,,,,
56,1032,56,0.06069152697920799,1.0,1.0,,,,,,,,,
57,1049,57,0.14820407375693323,0.0,0.0,0.22136148542165757,0.0,0.0,,,,,,
58,1066,58,0.12856998667120934,0.0,0.0,,,,,,,,,
59,1083,59,0.06442958243191244,1.0,1.0,,,,,,,,,
60,1100,60,0.09082278326153756,1.0,1.0,,,,,,,,,
61,1117,61,0.09411194786429405,0.0,0.0,,,,,,,,,
62,1134,62,0.08427566260099412,1.0,1.0,,,,,,,,,
63,1151,63,0.07589820250868798,1.0,1.0,,,,,,,,,
64,1168,64,0.10187138453125953,0.0,0.0,,,,,,,,,
65,1177,65,0.18490704327821733,0.0,0.0,0.061457936614751824,1.0,1.0,,,,,,
66,1194,66,0.06015853241086007,1.0,1.0,,,,,,,,,
67,1211,67,0.07869579344987869,1.0,1.0,,,,,,,,,
68,1228,68,0.06712575934827328,1.0,1.0,,,,,,,,,
69,1237,69,0.07281647354364396,1.0,1.0,,,,,,,,,
70,1246,70,0.05913231208920479,1.0,1.0,,,,,,,,,
71,1263,71,0.1971246388554573,0.0,0.0,,,,,,,,,
72,1288,72,0.14380393005907535,0.0,0.0,,,,,,,,,
73,1305,73,0.052861054092645646,1.0,1.0,0.059946545492857696,1.0,1.0,,,,,,
74,1322,74,0.15161975406110287,0.0,0.0,,,,,,,,,
75,1339,75,0.043679429963231084,1.0,1.0,,,,,,,,,
76,1348,76,0.2012677851319313,0.0,0.0,,,,,,,,,
77,1365,77,0.06268688824027777,1.0,1.0,,,,,,,,,
78,1390,78,0.07864123066266376,0.0,0.0,,,,,,,,,
79,1407,79,0.08811572387814522,1.0,1.0,,,,,,,,,
80,1424,80,0.06739015817642212,1.0,1.0,,,,,,,,,
81,1441,81,0.11177396304905415,0.0,0.0,0.05265651136636734,1.0,1.0,,,,,,
82,1458,82,0.13384637251496315,0.0,0.0,,,,,,,,,
83,1475,83,0.055121143609285356,1.0,1.0,,,,,,,,,
84,1500,84,0.041415455540021254,1.0,1.0,,,,,,,,,
85,1509,85,0.04599748894572258,1.0,1.0,,,,,,,,,
86,1534,86,0.05216497167944907,1.0,1.0,,,,,,,,,
87,1551,87,0.14021280363202096,0.0,0.0,,,,,,,,,
88,1568,88,0.11751919694244863,0.0,0.0,,,,,,,,,
89,1577,89,0.0840091474354267,1.0,1.0,0.051232367157936096,1.0,1.0,,,,,,
90,1594,90,0.10172500938177109,0.0,0.0,,,,,,,,,
91,1603,91,0.20814871072769164,0.0,0.0,,,,,,,,,
92,1612,92,0.18497575700283053,0.0,0.0,,,,,,,,,
93,1629,93,0.05396034687757492,1.0,1.0,,,,,,,,,
94,1638,94,0.06605993881821633,1.0,1.0,,,,,,,,,
95,1655,95,0.04128119349479675,1.0,1.0,,,,,,,,,
96,1688,96,0.1409261579066515,0.0,0.0,,,,,,,,,
97,1705,97,0.2665551446378231,0.0,0.0,0.22698872804641723,0.0,0.0,,,,,,
98,1738,98,0.03995530632324517,1.0,1.0,,,,,,,,,
99,1755,99,0.21257685229182244,0.0,0.0,,,,,,,,,
100,1772,100,0.2020111945271492,0.0,0.0,,,,,,,,,
101,1789,101,0.0427597127109766,1.0,1.0,,,,,,,,,
102,1806,102,0.13071071818470956,0.0,0.0,,,,,,,,,
103,1831,103,0.08982077489296594,0.0,0.0,,,,,,,,,
104,1856,104,0.04869290178020795,1.0,1.0,,,,,,,,,
105,1873,105,0.06998933658003807,1.0,1.0,0.06945220537483691,0.0,0.0,,,,,,
106,1882,106,0.171363582611084,0.0,0.0,,,,,,,,,
107,1899,107,0.07558562830090523,1.0,1.0,,,,,,,,,
108,1916,108,0.07285546645522117,1.0,1.0,,,,,,,,,
109,1933,109,0.08502064988017083,0.0,0.0,,,,,,,,,
110,1958,110,0.08354001964131992,0.0,0.0,,,,,,,,,
111,1991,111,0.053480149284005164,1.0,1.0,,,,,,,,,
112,2016,112,0.05550381759802499,1.0,1.0,,,,,,,,,
