step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,18,2,0.4874738736450672,0.5,0.5,0.2758443692326546,0.0,0.0,,,,,,
2,52,4,0.268410913348198,0.5,0.5,,,,,,,,,
3,102,6,0.1512700805068016,0.5,0.5,,,,,,,,,
4,152,8,0.12210471354269735,0.5,0.5,,,,,,,,,
5,186,10,0.10108263481408358,0.5,0.5,,,,,,,,,
6,236,12,0.048200695936878514,1.0,1.0,,,,,,,,,
7,270,14,0.1528182315453887,0.5,0.5,,,,,,,,,
8,288,16,0.4130555240996182,0.5,0.5,,,,,,,,,
9,322,18,0.13647647139150648,0.5,0.5,0.11789652153849603,1.0,1.0,,,,,,
10,372,20,0.05285987180968125,1.0,1.0,,,,,,,,,
11,406,22,0.09627602588385344,0.5,0.5,,,,,,,,,
12,440,24,0.0769390931352973,0.5,0.5,,,,,,,,,
13,474,26,0.09778974920511248,0.5,0.5,,,,,,,,,
14,524,28,0.037231373308847356,1.0,1.0,,,,,,,,,
15,558,30,0.09443865733221171,0.5,0.5,,,,,,,,,
16,624,32,0.058908102987334135,0.5,0.5,,,,,,,,,
17,658,34,0.08144452825188638,0.5,0.5,0.09719404794275761,0.0,0.0,,,,,,
18,692,36,0.1070347008202225,0.0,0.0,,,,,,,,,
19,710,38,0.1981504140794277,0.0,0.0,,,,,,,,,
20,760,40,0.08117617706457773,0.0,0.0,,,,,,,,,
21,778,42,0.16196689538657666,0.0,0.0,,,,,,,,,
22,828,44,0.0674127463499705,1.0,1.0,,,,,,,,,
23,894,46,0.04629450162872672,1.0,1.0,,,,,,,,,
24,944,48,0.07026483985284965,0.5,0.5,,,,,,,,,
25,978,50,0.11884496927261354,0.0,0.0,0.09867817971855403,0.0,0.0,,,,,,
26,1012,52,0.08628057427704335,0.5,0.5,,,,,,,,,
27,1046,54,0.053287413679063325,1.0,1.0,,,,,,,,,
28,1080,56,0.1015512934885919,0.0,0.0,,,,,,,,,
29,1114,58,0.08167138595134019,0.5,0.5,,,,,,,,,
30,1148,60,0.0857261550426483,0.0,0.0,,,,,,,,,
31,1182,62,0.0739632281847298,0.5,0.5,,,,,,,,,
32,1216,64,0.11538245197385548,0.0,0.0,,,,,,,,,
33,1266,66,0.073261994322141,0.0,0.0,0.0633685171107451,0.5,0.5,,,,,,
34,1316,68,0.059106953678031766,0.5,0.5,,,,,,,,,
35,1350,70,0.07920200914144515,0.5,0.5,,,,,,,,,
36,1384,72,0.08573949944227935,0.5,0.5,,,,,,,,,
37,1418,74,0.08524498224258421,0.0,0.0,,,,,,,,,
38,1452,76,0.07915437947958709,0.5,0.5,,,,,,,,,
39,1486,78,0.0850355338677764,0.0,0.0,,,,,,,,,
40,1520,80,0.07975708559155464,0.5,0.5,,,,,,,,,
