step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,17,1,0.2808132314682007,1.0,1.0,0.23205349385738372,1.0,1.0,,,,,,
2,34,2,0.2747206765413284,1.0,1.0,,,,,,,,,
3,43,3,0.33408990532159805,1.0,1.0,,,,,,,,,
4,60,4,0.07077426940202713,1.0,1.0,,,,,,,,,
5,69,5,0.8838029932975768,0.0,0.0,,,,,,,,,
6,78,6,0.0685852957330644,1.0,1.0,,,,,,,,,
7,95,7,0.33021777018904686,0.0,0.0,,,,,,,,,
8,104,8,0.06859714783728123,1.0,1.0,,,,,,,,,
9,137,9,0.05153218129649759,1.0,1.0,0.04394051909446717,1.0,1.0,,,,,,
10,154,10,0.05396899830549956,1.0,1.0,,,,,,,,,
11,163,11,0.25650762289762497,0.0,0.0,,,,,,,,,
12,172,12,0.1860648110508919,0.0,0.0,,,,,,,,,
13,189,13,0.12348822563886643,0.0,0.0,,,,,,,,,
14,206,14,0.21403106659650806,0.0,0.0,,,,,,,,,
15,231,15,0.1464373510579268,0.0,0.0,,,,,,,,,
16,240,16,0.08778769239783288,1.0,1.0,,,,,,,,,
17,249,17,0.059675354436039926,1.0,1.0,0.0713160267099738,1.0,1.0,,,,,,
18,258,18,0.0599243177473545,1.0,1.0,,,,,,,,,
19,283,19,0.1157740291332205,0.0,0.0,,,,,,,,,
20,300,20,0.16629594877362253,0.0,0.0,,,,,,,,,
21,317,21,0.1238360995054245,0.0,0.0,,,,,,,,,
22,334,22,0.10434332892298699,1.0,1.0,,,,,,,,,
23,351,23,0.08677809394896031,1.0,1.0,,,,,,,,,
24,376,24,0.05029424960414568,1.0,1.0,,,,,,,,,
25,393,25,0.04271772305481136,1.0,1.0,0.050479205027222626,1.0,1.0,,,,,,
26,410,26,0.04395035203546285,1.0,1.0,,,,,,,,,
27,427,27,0.035151215102523566,1.0,1.0,,,,,,,,,
28,444,28,0.039227776397019624,1.0,1.0,,,,,,,,,
29,469,29,0.04602747762730967,1.0,1.0,,,,,,,,,
30,486,30,0.49670224510133265,0.0,0.0,,,,,,,,,
31,511,31,0.03481887903413735,1.0,1.0,,,,,,,,,
32,528,32,0.03936486391350627,1.0,1.0,,,,,,,,,
33,545,33,0.023269741665571927,1.0,1.0,0.33717291325330734,0.0,0.0,,,,,,
34,562,34,0.05393764008767903,1.0,1.0,,,,,,,,,
35,571,35,0.052910374514758586,1.0,1.0,,,,,,,,,
36,596,36,0.20984883815050126,0.0,0.0,,,,,,,,,
37,613,37,0.0586789957806468,1.0,1.0,,,,,,,,,
38,630,38,0.055278309024870395,1.0,1.0,,,,,,,,,
39,647,39,0.05024711277335882,1.0,1.0,,,,,,,,,
40,664,40,0.04426995526999235,1.0,1.0,,,,,,,,,
41,681,41,0.035544399786740545,1.0,1.0,0.034248074429730574,1.0,1.0,,,,,,
42,698,42,0.034264972805976866,1.0,1.0,,,,,,,,,
43,707,43,0.3851112413406372,0.0,0.0,,,,,,,,,
44,724,44,0.045772895626723764,1.0,1.0,,,,,,,,,
45,733,45,0.08300315871834754,1.0,1.0,,,,,,,,,
46,750,46,0.05539004746824503,1.0,1.0,,,,,,,,,
47,767,47,0.03707688141614199,1.0,1.0,,,,,,,,,
48,784,48,0.03873191740363836,1.0,1.0,,,,,,,,,
49,801,49,0.045263649411499504,1.0,1.0,0.0565977718681097,1.0,1.0,,,,,,
50,826,50,0.057700790862242377,1.0,1.0,,,,,,,,,
51,835,51,0.25541840374469754,0.0,0.0,,,,,,,,,
52,852,52,0.026121295411139726,1.0,1.0,,,,,,,,,
53,861,53,0.04967786181718111,1.0,1.0,,,,,,,,,
54,870,54,0.1569057285785675,0.0,0.0,,,,,,,,,
55,903,55,0.11447110380977392,0.0,0.0,,,,,,,,,
56,920,56,0.04200342237949371,1.0,1.0,,,,,,,,,
