step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,136,8,0.3870652022957802,0.0,0.0,0.14674044194445013,0.0,0.0,,,,,,
2,336,16,0.23773512382681172,0.0,0.0,,,,,,,,,
3,664,24,0.11435306457430124,0.375,0.375,,,,,,,,,
4,864,32,0.11102673744782805,0.625,0.625,,,,,,,,,
5,1064,40,0.06135643102228641,0.625,0.625,,,,,,,,,
6,1264,48,0.06264221751441558,0.5,0.5,,,,,,,,,
7,1464,56,0.05341065302335968,0.625,0.625,,,,,,,,,
8,1600,64,0.08216806816868485,0.625,0.625,,,,,,,,,
9,1800,72,0.1023158654353271,0.25,0.25,0.08575002308003604,0.25,0.25,,,,,,
10,2000,80,0.059811709125836686,0.25,0.25,,,,,,,,,
11,2200,88,0.055462737087315576,0.625,0.625,,,,,,,,,
12,2400,96,0.05826271788527568,0.25,0.25,,,,,,,,,
13,2664,104,0.04837752577383071,0.375,0.375,,,,,,,,,
14,2992,112,0.04302345288544893,0.375,0.375,,,,,,,,,
15,3192,120,0.05173883140087129,0.625,0.625,,,,,,,,,
16,3392,128,0.06410106596536934,0.375,0.375,,,,,,,,,
17,3592,136,0.06031825554246703,0.5,0.5,0.06259982515747348,0.25,0.25,,,,,,
18,3728,144,0.07847960546612741,0.75,0.75,,,,,,,,,
19,3992,152,0.04486826405103784,0.5,0.5,,,,,,,,,
20,4128,160,0.07271227859891952,0.5,0.5,,,,,,,,,
21,4264,168,0.08514237025752663,0.5,0.5,,,,,,,,,
22,4400,176,0.06898264599964023,0.75,0.75,,,,,,,,,
23,4536,184,0.07511990571860223,0.75,0.75,,,,,,,,,
24,4736,192,0.06523864104257275,0.5,0.5,,,,,,,,,
25,4936,200,0.07713768736148874,0.125,0.125,0.03364556833985262,0.5,0.5,,,,,,
26,5136,208,0.05168099512035649,0.625,0.625,,,,,,,,,
27,5272,216,0.0733371707657352,0.625,0.625,,,,,,,,,
28,5536,224,0.04152014897204935,0.5,0.5,,,,,,,,,
29,5736,232,0.052048068232834345,0.5,0.5,,,,,,,,,
30,5872,240,0.0816977039258927,0.25,0.25,,,,,,,,,
31,6200,248,0.03419443484395743,0.5,0.5,,,,,,,,,
32,6464,256,0.04225061928853392,0.625,0.625,,,,,,,,,
33,6664,264,0.04811664425767958,0.75,0.75,0.0478032516874373,0.75,0.75,,,,,,
34,6864,272,0.056512949975828335,0.5,0.5,,,,,,,,,
35,7384,280,0.020666464475216344,0.875,0.875,,,,,,,,,
36,7584,288,0.04547551839767645,1.0,1.0,,,,,,,,,
37,7720,296,0.0714056470245123,0.75,0.75,,,,,,,,,
38,7920,304,0.045545054975276195,0.625,0.625,,,,,,,,,
39,8248,312,0.036611371908336875,0.5,0.5,,,,,,,,,
40,8512,320,0.04021769960876555,0.625,0.625,,,,,,,,,
41,8776,328,0.034409064087085425,0.75,0.75,0.04573654216714203,0.5,0.5,,,,,,
42,9104,336,0.037718875374645,0.5,0.5,,,,,,,,,
43,9304,344,0.05462807640433311,0.375,0.375,,,,,,,,,
44,9440,352,0.05920983681920917,0.75,0.75,,,,,,,,,
45,9640,360,0.04824705478114386,0.625,0.625,,,,,,,,,
46,9968,368,0.03227995920018294,0.625,0.625,,,,,,,,,
47,10232,376,0.04795289919478819,0.375,0.375,,,,,,,,,
48,10496,384,0.04558783804764971,0.25,0.25,,,,,,,,,
49,10824,392,0.035310811571776866,0.125,0.125,0.051980707400167976,0.75,0.75,,,,,,
50,11024,400,0.04507813170552253,0.75,0.75,,,,,,,,,
51,11224,408,0.04308719355923434,0.75,0.75,,,,,,,,,
52,11424,416,0.050064468001946805,0.5,0.5,,,,,,,,,
53,11624,424,0.06117542220279575,0.375,0.375,,,,,,,,,
54,11824,432,0.04536390135064721,0.5,0.5,,,,,,,,,
55,12024,440,0.0522591869905591,0.25,0.25,,,,,,,,,
56,12224,448,0.0515716913032035,0.375,0.375,,,,,,,,,
57,12360,456,0.07019785571843386,0.5,0.5,0.029055760873598045,0.625,0.625,,,,,,
58,12560,464,0.04437585831386969,0.625,0.625,,,,,,,,,
59,12696,472,0.07698626476339995,0.625,0.625,,,,,,,,,
60,12832,480,0.06229841467924416,0.875,0.875,,,,,,,,,
61,13096,488,0.03903932063374668,0.375,0.375,,,,,,,,,
62,13296,496,0.04575526212186864,0.875,0.875,,,,,,,,,
63,13432,504,0.07803709134226666,0.5,0.5,,,,,,,,,
64,13632,512,0.05283104583465804,0.5,0.5,,,,,,,,,
65,13896,520,0.034880523534957325,0.75,0.75,0.04271482184762135,0.625,0.625,,,,,,
66,14032,528,0.06435907825827598,0.75,0.75,,,,,,,,,
67,14232,536,0.061541211005145056,0.25,0.25,,,,,,,,,
68,14560,544,0.03099566651508212,0.875,0.875,,,,,,,,,
69,14760,552,0.04752955798680584,0.625,0.625,,,,,,,,,
70,14960,560,0.0452565247627596,0.75,0.75,,,,,,,,,
71,15160,568,0.037872393249223625,0.75,0.75,,,,,,,,,
72,15424,576,0.03083485671581002,0.75,0.75,,,,,,,,,
73,15688,584,0.04312367269769311,0.625,0.625,0.06320639157046873,0.375,0.375,,,,,,
74,15888,592,0.043663814580067996,0.75,0.75,,,,,,,,,
75,16024,600,0.06230496051604859,0.625,0.625,,,,,,,,,
76,16160,608,0.0963594911666587,0.25,0.25,,,,,,,,,
77,16360,616,0.055278375688940284,0.5,0.5,,,,,,,,,
78,16624,624,0.04456123087089509,0.125,0.125,,,,,,,,,
79,16824,632,0.05093552015721798,0.5,0.5,,,,,,,,,
80,17088,640,0.04369660961208865,0.375,0.375,,,,,,,,,
81,17288,648,0.04516972819653651,0.75,0.75,0.06830312126781792,0.625,0.625,,,,,,
82,17424,656,0.06196103537455201,0.625,0.625,,,,,,,,,
83,17560,664,0.06897580728516914,0.25,0.25,,,,,,,,,
