step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,34,2,0.34981524311006074,0.0,0.0,0.3797127517312765,0.0,0.0,,,,,,
2,84,4,0.2825696021815141,0.0,0.0,,,,,,,,,
3,134,6,0.2053476832807064,0.0,0.0,,,,,,,,,
4,168,8,0.20452301073819398,0.5,0.5,,,,,,,,,
5,234,10,0.07592723885551095,0.5,0.5,,,,,,,,,
6,284,12,0.06482356995344163,0.5,0.5,,,,,,,,,
7,366,14,0.06060826686024666,0.5,0.5,,,,,,,,,
8,400,16,0.07261876048520208,0.5,0.5,,,,,,,,,
9,434,18,0.14092483766376973,0.0,0.0,0.03935899660922587,1.0,1.0,,,,,,
10,468,20,0.1323084107041359,0.0,0.0,,,,,,,,,
11,502,22,0.11854878336191177,0.0,0.0,,,,,,,,,
12,536,24,0.080804226025939,0.5,0.5,,,,,,,,,
13,586,26,0.07643453518549602,0.0,0.0,,,,,,,,,
14,620,28,0.07814895004034042,0.5,0.5,,,,,,,,,
15,670,30,0.09550768281022709,0.0,0.0,,,,,,,,,
16,704,32,0.13905353830195966,0.0,0.0,,,,,,,,,
17,738,34,0.08347885619848966,0.5,0.5,0.06026887379586696,0.5,0.5,,,,,,
18,772,36,0.10603682566434146,0.0,0.0,,,,,,,,,
19,854,38,0.06203673447668553,0.5,0.5,,,,,,,,,
20,904,40,0.058834959243734684,0.5,0.5,,,,,,,,,
21,938,42,0.0908018309250474,0.5,0.5,,,,,,,,,
22,972,44,0.07208534985780717,1.0,1.0,,,,,,,,,
23,1006,46,0.06609106853604317,1.0,1.0,,,,,,,,,
24,1072,48,0.03491358457133174,1.0,1.0,,,,,,,,,
25,1154,50,0.056833308987319454,0.5,0.5,0.11941972273401916,0.5,0.5,,,,,,
26,1204,52,0.08192312149330974,0.5,0.5,,,,,,,,,
27,1238,54,0.11694306429475546,0.5,0.5,,,,,,,,,
28,1288,56,0.04105267915874719,1.0,1.0,,,,,,,,,
29,1338,58,0.0930678519109885,0.0,0.0,,,,,,,,,
30,1372,60,0.05080028045922519,1.0,1.0,,,,,,,,,
31,1406,62,0.08228147767484187,0.5,0.5,,,,,,,,,
32,1456,64,0.05213521014899016,1.0,1.0,,,,,,,,,
33,1490,66,0.0773399843275547,0.0,0.0,0.12553282842040062,0.5,0.5,,,,,,
34,1524,68,0.08282686151564123,0.5,0.5,,,,,,,,,
35,1558,70,0.08525306202471256,0.5,0.5,,,,,,,,,
36,1608,72,0.049120387745400264,1.0,1.0,,,,,,,,,
37,1642,74,0.04483883533626795,1.0,1.0,,,,,,,,,
38,1676,76,0.09229071959853172,0.5,0.5,,,,,,,,,
39,1694,78,0.07801946505904198,1.0,1.0,,,,,,,,,
40,1744,80,0.10508137991031012,0.0,0.0,,,,,,,,,
41,1778,82,0.039236278422176835,1.0,1.0,0.16428727269172666,0.0,0.0,,,,,,
42,1828,84,0.10426068097352982,0.0,0.0,,,,,,,,,
43,1878,86,0.07145626078049343,0.5,0.5,,,,,,,,,
44,1912,88,0.11492812216281892,0.0,0.0,,,,,,,,,
45,1946,90,0.062462605610489844,1.0,1.0,,,,,,,,,
46,1980,92,0.07571828290820122,1.0,1.0,,,,,,,,,
47,2030,94,0.046281804268558824,1.0,1.0,,,,,,,,,
48,2064,96,0.06555031895637513,1.0,1.0,,,,,,,,,
49,2114,98,0.06607508910199007,0.0,0.0,0.04687704257667064,1.0,1.0,,,,,,
50,2148,100,0.08965982001274823,0.5,0.5,,,,,,,,,
51,2182,102,0.1033615206182003,0.0,0.0,,,,,,,,,
52,2232,104,0.059139748414357506,0.5,0.5,,,,,,,,,
53,2266,106,0.058832923881709576,1.0,1.0,,,,,,,,,
54,2316,108,0.05973423642416795,0.5,0.5,,,,,,,,,
55,2366,110,0.050057529807090766,1.0,1.0,,,,,,,,,
56,2400,112,0.05107955101877451,1.0,1.0,,,,,,,,,
57,2450,114,0.035857833623886115,1.0,1.0,0.12137381616979838,0.0,0.0,,,,,,
58,2484,116,0.048672194629907614,1.0,1.0,,,,,,,,,
59,2534,118,0.06594614539295435,0.5,0.5,,,,,,,,,
60,2568,120,0.10067004147917032,0.5,0.5,,,,,,,,,
61,2602,122,0.1382137525267899,0.0,0.0,,,,,,,,,
62,2636,124,0.15008502691984177,0.0,0.0,,,,,,,,,
63,2670,126,0.08975564375519753,0.5,0.5,,,,,,,,,
64,2704,128,0.0676976577565074,0.5,0.5,,,,,,,,,
65,2754,130,0.05846414923667908,0.5,0.5,0.07004051998257638,0.5,0.5,,,,,,
66,2788,132,0.07629688128829003,0.5,0.5,,,,,,,,,
67,2838,134,0.07933482511589925,0.0,0.0,,,,,,,,,
68,2888,136,0.06535419402023156,0.5,0.5,,,,,,,,,
69,2922,138,0.0755324910208583,0.5,0.5,,,,,,,,,
70,2956,140,0.07861822959035636,0.5,0.5,,,,,,,,,
71,2990,142,0.07658251013606786,0.0,0.0,,,,,,,,,
72,3040,144,0.06170162429412207,0.5,0.5,,,,,,,,,
73,3074,146,0.062083793431520456,1.0,1.0,0.041002699792385106,0.5,0.5,,,,,,
74,3108,148,0.06245339911431075,1.0,1.0,,,,,,,,,
75,3142,150,0.11868060156702996,0.0,0.0,,,,,,,,,
76,3176,152,0.08360151033848524,0.5,0.5,,,,,,,,,
77,3226,154,0.06754586435854436,0.5,0.5,,,,,,,,,
78,3244,156,0.24170590728521346,0.0,0.0,,,,,,,,,
79,3342,158,0.048970626741647726,0.0,0.0,,,,,,,,,
80,3392,160,0.048434067492683724,1.0,1.0,,,,,,,,,
81,3426,162,0.08013591445982457,0.5,0.5,0.08067417211830616,0.5,0.5,,,,,,
82,3476,164,0.05840368946393332,0.0,0.0,,,,,,,,,
83,3510,166,0.06876065269112588,1.0,1.0,,,,,,,,,
84,3544,168,0.07612064350396394,1.0,1.0,,,,,,,,,
85,3562,170,0.131770725697279,0.5,0.5,,,,,,,,,
86,3596,172,0.06928760681301355,0.5,0.5,,,,,,,,,
87,3646,174,0.06728122028211753,0.5,0.5,,,,,,,,,
88,3680,176,0.051884936811402445,1.0,1.0,,,,,,,,,
89,3714,178,0.03689153239130974,1.0,1.0,0.07671892251819372,0.5,0.5,,,,,,
90,3764,180,0.040393790168066816,1.0,1.0,,,,,,,,,
91,3798,182,0.04301471222192049,1.0,1.0,,,,,,,,,
92,3864,184,0.07182137524243444,0.5,0.5,,,,,,,,,
93,3914,186,0.1265795764575402,0.0,0.0,,,,,,,,,
94,3948,188,0.1882999289408326,0.0,0.0,,,,,,,,,
95,3982,190,0.07042235543951392,0.5,0.5,,,,,,,,,
96,4032,192,0.09895236911873023,0.0,0.0,,,,,,,,,
97,4066,194,0.10263462852686643,0.0,0.0,0.05984028215209643,0.5,0.5,,,,,,
98,4100,196,0.06610893532633781,0.5,0.5,,,,,,,,,
99,4166,198,0.049777226205915216,0.5,0.5,,,,,,,,,
100,4232,200,0.04356827832758427,0.5,0.5,,,,,,,,,
101,4266,202,0.07815339714288712,0.5,0.5,,,,,,,,,
