step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,34,2,0.4700937023758889,0.0,0.0,0.3813762306421995,0.0,0.0,,,,,,
2,84,4,0.24481702125320834,0.0,0.0,,,,,,,,,
3,118,6,0.31227250609546897,0.0,0.0,,,,,,,,,
4,152,8,0.2040002561733127,0.0,0.0,,,,,,,,,
5,186,10,0.12537248227745296,0.5,0.5,,,,,,,,,
6,236,12,0.05607259643574556,1.0,1.0,,,,,,,,,
7,270,14,0.10234677907079458,0.5,0.5,,,,,,,,,
8,320,16,0.040805252281328044,1.0,1.0,,,,,,,,,
9,370,18,0.046158433550347884,1.0,1.0,0.18049740015063434,0.5,0.5,,,,,,
10,436,20,0.16329580456018447,0.0,0.0,,,,,,,,,
11,470,22,0.036855496608186517,1.0,1.0,,,,,,,,,
12,504,24,0.2336683251708746,0.0,0.0,,,,,,,,,
13,538,26,0.10959797742776572,0.5,0.5,,,,,,,,,
14,604,28,0.06143468307331204,0.5,0.5,,,,,,,,,
15,638,30,0.12821840934455395,0.0,0.0,,,,,,,,,
16,672,32,0.10039907436817884,0.0,0.0,,,,,,,,,
17,706,34,0.08865243343636395,0.0,0.0,0.07594574339687825,1.0,1.0,,,,,,
18,756,36,0.050413930068413416,1.0,1.0,,,,,,,,,
19,790,38,0.09109953790903091,0.5,0.5,,,,,,,,,
20,824,40,0.13236940402537584,0.0,0.0,,,,,,,,,
21,858,42,0.102800277993083,0.0,0.0,,,,,,,,,
22,940,44,0.03887584620527922,1.0,1.0,,,,,,,,,
23,974,46,0.1080869384855032,0.0,0.0,,,,,,,,,
24,1008,48,0.09237814269959926,0.5,0.5,,,,,,,,,
25,1042,50,0.09025519814342262,0.5,0.5,0.04979473765939474,1.0,1.0,,,,,,
26,1076,52,0.08602668836712837,0.5,0.5,,,,,,,,,
27,1110,54,0.08507876507937909,0.0,0.0,,,,,,,,,
28,1144,56,0.07663599263876678,1.0,1.0,,,,,,,,,
29,1178,58,0.05652761604636908,1.0,1.0,,,,,,,,,
30,1228,60,0.05653032694011926,0.5,0.5,,,,,,,,,
