step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,17,1,0.38821947149932384,0.0,0.0,0.3099840119481087,0.0,0.0,,,,,,
2,34,2,0.36745788604021073,0.0,0.0,,,,,,,,,
3,51,3,0.3277955581247807,0.0,0.0,,,,,,,,,
4,68,4,0.2091305823624134,1.0,1.0,,,,,,,,,
5,77,5,0.26412325859069824,1.0,1.0,,,,,,,,,
6,94,6,0.05937818560749293,1.0,1.0,,,,,,,,,
7,111,7,0.04018564282974694,1.0,1.0,,,,,,,,,
8,128,8,0.5548820982873439,0.0,0.0,,,,,,,,,
9,145,9,0.4219803864881396,0.0,0.0,0.2873566929996014,0.0,0.0,,,,,,
10,154,10,0.05397781694307924,1.0,1.0,,,,,,,,,
11,171,11,0.03629795845597983,1.0,1.0,,,,,,,,,
12,188,12,0.041630370952188966,1.0,1.0,,,,,,,,,
13,197,13,0.47576582670211787,0.0,0.0,,,,,,,,,
14,230,14,0.04413238583132625,1.0,1.0,,,,,,,,,
15,255,15,0.15684050406018893,0.0,0.0,,,,,,,,,
16,280,16,0.10095798368255296,0.0,0.0,,,,,,,,,
17,297,17,0.0669717638194561,1.0,1.0,0.0729935759305954,0.0,0.0,,,,,,
18,314,18,0.10810404226183892,0.0,0.0,,,,,,,,,
19,339,19,0.06978343029816944,1.0,1.0,,,,,,,,,
20,356,20,0.11576406300067901,0.0,0.0,,,,,,,,,
21,365,21,0.19237678945064543,0.0,0.0,,,,,,,,,
22,382,22,0.10340152774006128,0.0,0.0,,,,,,,,,
23,391,23,0.16266190022230148,0.0,0.0,,,,,,,,,
24,408,24,0.0920536262076348,0.0,0.0,,,,,,,,,
25,425,25,0.0942070972919464,0.0,0.0,0.20146191939711572,0.0,0.0,,,,,,
26,434,26,0.19852651834487914,0.0,0.0,,,,,,,,,
27,451,27,0.09411175936460495,1.0,1.0,,,,,,,,,
28,468,28,0.08149355731904506,0.0,0.0,,,,,,,,,
29,485,29,0.07087108955718577,1.0,1.0,,,,,,,,,
30,502,30,0.055994611456990244,1.0,1.0,,,,,,,,,
31,519,31,0.05991439107805491,1.0,1.0,,,,,,,,,
32,544,32,0.04513048181931177,1.0,1.0,,,,,,,,,
