step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,17,1,0.4082444250583649,0.0,0.0,0.35570597916841507,0.0,0.0,,,,,,
2,34,2,0.318226777613163,0.0,0.0,,,,,,,,,
3,51,3,0.1959184919297695,0.0,0.0,,,,,,,,,
4,68,4,0.1693523217737675,0.0,0.0,,,,,,,,,
5,85,5,0.10219404339790344,0.0,0.0,,,,,,,,,
6,94,6,0.07203711926937104,1.0,1.0,,,,,,,,,
7,111,7,0.30550048723816875,0.0,0.0,,,,,,,,,
8,128,8,0.06065110836469102,1.0,1.0,,,,,,,,,
9,145,9,0.052079644910991194,1.0,1.0,0.24569047864526508,0.0,0.0,,,,,,
10,162,10,0.3251400554180145,0.0,0.0,,,,,,,,,
11,179,11,0.049811568893492225,1.0,1.0,,,,,,,,,
12,196,12,0.18521052151918413,0.0,0.0,,,,,,,,,
13,229,13,0.06280809897929429,1.0,1.0,,,,,,,,,
14,246,14,0.11160240724682807,0.0,0.0,,,,,,,,,
15,263,15,0.0788233895599842,1.0,1.0,,,,,,,,,
16,280,16,0.06584331087768078,1.0,1.0,,,,,,,,,
17,297,17,0.05206315008923411,1.0,1.0,0.03469579226570204,1.0,1.0,,,,,,
18,306,18,0.7154585593938827,0.0,0.0,,,,,,,,,
19,339,19,0.03539889152860269,1.0,1.0,,,,,,,,,
20,356,20,0.3740775978565216,0.0,0.0,,,,,,,,,
21,365,21,0.3159526720643044,0.0,0.0,,,,,,,,,
22,382,22,0.10380237139761447,0.0,0.0,,,,,,,,,
23,391,23,0.09218181759119035,1.0,1.0,,,,,,,,,
24,440,24,0.07907986395061016,0.0,0.0,,,,,,,,,
25,457,25,0.041573441624641425,1.0,1.0,0.052964586565891904,1.0,1.0,,,,,,
26,466,26,0.3399937415122986,0.0,0.0,,,,,,,,,
27,475,27,0.2058208380267024,0.0,0.0,,,,,,,,,
28,492,28,0.18728130474686622,0.0,0.0,,,,,,,,,
29,501,29,0.07389687113463879,1.0,1.0,,,,,,,,,
30,510,30,0.3620822769403458,0.0,0.0,,,,,,,,,
31,527,31,0.026171219870448112,1.0,1.0,,,,,,,,,
32,536,32,0.06741896014660598,1.0,1.0,,,,,,,,,
33,561,33,0.16630408053596815,0.0,0.0,0.2454544897377491,0.0,0.0,,,,,,
34,578,34,0.15597258880734444,0.0,0.0,,,,,,,,,
35,595,35,0.09259314864873887,1.0,1.0,,,,,,,,,
36,620,36,0.16134644816319146,0.0,0.0,,,,,,,,,
37,637,37,0.14927305161952972,0.0,0.0,,,,,,,,,
38,654,38,0.045532938055694104,1.0,1.0,,,,,,,,,
39,671,39,0.06890207730233669,1.0,1.0,,,,,,,,,
40,688,40,0.034849906228482726,1.0,1.0,,,,,,,,,
41,705,41,0.17075667127966881,0.0,0.0,0.07798332951962947,1.0,1.0,,,,,,
42,722,42,0.13787691064178945,0.0,0.0,,,,,,,,,
43,739,43,0.06357528522610664,1.0,1.0,,,,,,,,,
